label,cohens_d
lh_bankssts_thickness,-0.400715517
lh_caudalanteriorcingulate_thickness,0.0498228
lh_caudalmiddlefrontal_thickness,-0.193351633
lh_cuneus_thickness,-0.35330152
lh_entorhinal_thickness,0.056889949
lh_frontalpole_thickness,-0.15449734
lh_fusiform_thickness,-0.022958002
lh_inferiorparietal_thickness,-0.760350894
lh_inferiortemporal_thickness,-0.413004269
lh_insula_thickness,-0.43765168
lh_isthmuscingulate_thickness,0.236809716
lh_lateraloccipital_thickness,-0.539311188
lh_lateralorbitofrontal_thickness,0.054862982
lh_lingual_thickness,-0.97182459
lh_MeanThickness_thickness,-0.352997658
lh_medialorbitofrontal_thickness,0.244201405
lh_middletemporal_thickness,0.099483562
lh_paracentral_thickness,-0.09496952
lh_parahippocampal_thickness,-0.187830951
lh_parsopercularis_thickness,-0.317520942
lh_parsorbitalis_thickness,-0.227249545
lh_parstriangularis_thickness,-0.125244565
lh_pericalcarine_thickness,-0.411317984
lh_postcentral_thickness,-0.500312283
lh_posteriorcingulate_thickness,-0.040648011
lh_precentral_thickness,-0.002289412
lh_precuneus_thickness,-0.157291613
lh_rostralanteriorcingulate_thickness,0.056284877
lh_rostralmiddlefrontal_thickness,-0.079323727
lh_superiorfrontal_thickness,-0.172971004
lh_superiorparietal_thickness,-0.429998569
lh_superiortemporal_thickness,0.068282835
lh_supramarginal_thickness,-0.557648298
lh_temporalpole_thickness,0.154930105
lh_transversetemporal_thickness,-0.978636111
rh_bankssts_thickness,-0.595826701
rh_caudalanteriorcingulate_thickness,-0.471087393
rh_caudalmiddlefrontal_thickness,-0.34852307
rh_cuneus_thickness,-0.409476277
rh_entorhinal_thickness,0.028237506
rh_frontalpole_thickness,0.422671807
rh_fusiform_thickness,0.128170524
rh_inferiorparietal_thickness,-1.124710147
rh_inferiortemporal_thickness,-0.178666893
rh_insula_thickness,-0.097208809
rh_isthmuscingulate_thickness,0.012357547
rh_lateraloccipital_thickness,-0.634193006
rh_lateralorbitofrontal_thickness,-0.277309854
rh_lingual_thickness,-0.535434289
rh_MeanThickness_thickness,-0.532632048
rh_medialorbitofrontal_thickness,0.099961312
rh_middletemporal_thickness,-0.028225333
rh_paracentral_thickness,-0.020847946
rh_parahippocampal_thickness,-0.167559707
rh_parsopercularis_thickness,0.1776686
rh_parsorbitalis_thickness,-0.017695725
rh_parstriangularis_thickness,-0.876737458
rh_pericalcarine_thickness,-0.700274531
rh_postcentral_thickness,-0.686952569
rh_posteriorcingulate_thickness,-0.348255785
rh_precentral_thickness,-0.261007265
rh_precuneus_thickness,-0.276834981
rh_rostralanteriorcingulate_thickness,-0.14364707
rh_rostralmiddlefrontal_thickness,-0.202573244
rh_superiorfrontal_thickness,-0.390927777
rh_superiorparietal_thickness,-0.448703976
rh_superiortemporal_thickness,-0.233701105
rh_supramarginal_thickness,-0.461871255
rh_temporalpole_thickness,0.406281438
rh_transversetemporal_thickness,-0.568206561
