#No. label_name: R G B A
1001 ctx_lh_bankssts_thickness 45 255 0 0
1002 ctx_lh_caudalanteriorcingulate_thickness 62 0 0 0
1003 ctx_lh_caudalmiddlefrontal_thickness 4 255 0 0
1004 ctx_lh_cuneus_thickness 34 255 0 0
1005 ctx_lh_entorhinal_thickness 63 0 0 0
1006 ctx_lh_frontalpole_thickness 13 255 0 0
1007 ctx_lh_fusiform_thickness 45 255 0 0
1008 ctx_lh_inferiorparietal_thickness 130 255 0 0
1009 ctx_lh_inferiortemporal_thickness 48 255 0 0
1010 ctx_lh_insula_thickness 54 255 0 0
1011 ctx_lh_isthmuscingulate_thickness 106 0 0 0
1012 ctx_lh_lateraloccipital_thickness 78 255 0 0
1013 ctx_lh_lateralorbitofrontal_thickness 63 0 0 0
1014 ctx_lh_lingual_thickness 180 255 0 0
1015 ctx_lh_MeanThickness_thickness 34 255 0 0
1016 ctx_lh_medialorbitofrontal_thickness 108 0 0 0
1017 ctx_lh_middletemporal_thickness 74 0 0 0
1018 ctx_lh_paracentral_thickness 28 255 0 0
1019 ctx_lh_parahippocampal_thickness 6 255 0 0
1020 ctx_lh_parsopercularis_thickness 25 255 0 0
1021 ctx_lh_parsorbitalis_thickness 4 255 0 0
1022 ctx_lh_parstriangularis_thickness 20 255 0 0
1023 ctx_lh_pericalcarine_thickness 47 255 0 0
1024 ctx_lh_postcentral_thickness 68 255 0 0
1025 ctx_lh_posteriorcingulate_thickness 40 255 0 0
1026 ctx_lh_precentral_thickness 49 255 0 0
1027 ctx_lh_precuneus_thickness 13 255 0 0
1028 ctx_lh_rostralanteriorcingulate_thickness 63 0 0 0
1029 ctx_lh_rostralmiddlefrontal_thickness 31 255 0 0
1030 ctx_lh_superiorfrontal_thickness 9 255 0 0
1031 ctx_lh_superiorparietal_thickness 52 255 0 0
1032 ctx_lh_superiortemporal_thickness 66 0 0 0
1033 ctx_lh_supramarginal_thickness 82 255 0 0
1034 ctx_lh_temporalpole_thickness 87 0 0 0
1035 ctx_lh_transversetemporal_thickness 182 255 0 0
2001 ctx_rh_bankssts_thickness 91 255 0 0
2002 ctx_rh_caudalanteriorcingulate_thickness 61 255 0 0
2003 ctx_rh_caudalmiddlefrontal_thickness 32 255 0 0
2004 ctx_rh_cuneus_thickness 47 255 0 0
2005 ctx_rh_entorhinal_thickness 57 0 0 0
2006 ctx_rh_frontalpole_thickness 150 0 0 0
2007 ctx_rh_fusiform_thickness 80 0 0 0
2008 ctx_rh_inferiorparietal_thickness 216 255 0 0
2009 ctx_rh_inferiortemporal_thickness 8 255 0 0
2010 ctx_rh_insula_thickness 27 255 0 0
2011 ctx_rh_isthmuscingulate_thickness 53 0 0 0
2012 ctx_rh_lateraloccipital_thickness 100 255 0 0
2013 ctx_rh_lateralorbitofrontal_thickness 16 255 0 0
2014 ctx_rh_lingual_thickness 77 255 0 0
2015 ctx_rh_MeanThickness_thickness 76 255 0 0
2016 ctx_rh_medialorbitofrontal_thickness 74 0 0 0
2017 ctx_rh_middletemporal_thickness 43 255 0 0
2018 ctx_rh_paracentral_thickness 45 255 0 0
2019 ctx_rh_parahippocampal_thickness 10 255 0 0
2020 ctx_rh_parsopercularis_thickness 92 0 0 0
2021 ctx_rh_parsorbitalis_thickness 46 255 0 0
2022 ctx_rh_parstriangularis_thickness 157 255 0 0
2023 ctx_rh_pericalcarine_thickness 116 255 0 0
2024 ctx_rh_postcentral_thickness 113 255 0 0
2025 ctx_rh_posteriorcingulate_thickness 32 255 0 0
2026 ctx_rh_precentral_thickness 12 255 0 0
2027 ctx_rh_precuneus_thickness 15 255 0 0
2028 ctx_rh_rostralanteriorcingulate_thickness 16 255 0 0
2029 ctx_rh_rostralmiddlefrontal_thickness 2 255 0 0
2030 ctx_rh_superiorfrontal_thickness 42 255 0 0
2031 ctx_rh_superiorparietal_thickness 56 255 0 0
2032 ctx_rh_superiortemporal_thickness 5 255 0 0
2033 ctx_rh_supramarginal_thickness 59 255 0 0
2034 ctx_rh_temporalpole_thickness 146 0 0 0
2035 ctx_rh_transversetemporal_thickness 84 255 0 0
